"","matrix2","leuven","w2v","clip","unverified_gpt_summer_no_mc","verified_gpt_summer_no_mc","human_triplet","gpt_triplet","gpt_embed_mds"
"1","leuven","1","0.819217954090827","0.498176058798629","0.732086098530752","0.907636013880672","0.946689960158281","0.650432632076241","0.77031389461612"
"2","w2v","0.819217954090826","1","0.487138558070133","0.642068666907953","0.782122416777856","0.740896480455933","0.565669416326972","0.71872245316124"
"3","clip","0.498176058798628","0.487138558070133","1","0.496397383817945","0.501464420395801","0.43740361095994","0.455010623778919","0.589916435678192"
"4","unverified_gpt_summer_no_mc","0.732086098530752","0.642068666907953","0.496397383817946","1","0.685382926327928","0.636815992336449","0.477399921682256","0.718741723245988"
"5","verified_gpt_summer_no_mc","0.907636013880672","0.782122416777856","0.501464420395801","0.685382926327928","1","0.857504558136223","0.67252932169914","0.814409580047903"
"6","human_triplet","0.946689960158281","0.740896480455932","0.43740361095994","0.636815992336449","0.857504558136223","1","0.58974730556541","0.665806309231852"
"7","gpt_triplet","0.650432632076241","0.565669416326972","0.45501062377892","0.477399921682256","0.67252932169914","0.589747305565411","1","0.613608468311081"
"8","gpt_embed_mds","0.770313894616119","0.718722453161239","0.589916435678192","0.718741723245987","0.814409580047903","0.665806309231852","0.613608468311081","1"
