feature/_exemplar_ENGLISH	FFrq	monkey	beaver	bison	dromedary	squirrel	hedgehog	donkey	giraffe	hamster	deer	dog	polar_bear	kangaroo	cat	cow	rabbit	llama	lion	mouse	rhinoceros	hippopotamus	elephant	horse	sheep	tiger	pig	bat	fox	wolf	zebra	eagle	dove	duck	magpie	pheasant	vulture	rooster	turkey	cabary	kip	cuckoo	crow	chickadee	seagull	blackbird	sparrow	stork	parrot	parakeet	peacock	pelican	penguin	heron	robin	woodpecker	ostrich	owl	falcon	swan	swallow	anchovy	dolphin	trout	goldfish	shark	herring	squid	cod	carp	orca	eel	piranha	plaice	flatfish	sperm_whale	ray	sardine	pike	stickleback	sole	whale	salmon	swordfish	bee_	leech	horsefly	centipede	fruit_fly	bumblebee	cockroach	beetle	cricket	dragonfly	ladybug	louse	maybug	ant	moth	mosquito	earwig	wood_louse	caterpillar	spider	grashopper	fly	butterfly	flee	wasp	worm	viger	alligator	boa	cobra	dinosaur	gecko	lizard	blindworm	caiman	chameleon	frog	crocodile	iguana	toad	python	salamander	tortoise	snake	monitor_lizard	turtle
appears_in_comics	4	1	0	0	0	2	0	0	0	0	0	4	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
breeds_rapidly	4	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	4	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
builds_nests_at_high_altitude	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"can_be_brown,_black,_white,_grey"	4	0	0	0	0	0	0	1	0	1	0	3	0	0	4	2	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
can_be_fed	4	2	2	2	3	3	2	4	3	4	3	4	2	2	4	4	4	4	2	3	2	2	2	4	4	2	4	2	2	2	2	2	4	3	3	3	2	4	4	4	4	3	3	3	2	3	3	2	3	4	3	2	2	2	3	3	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3
can_be_lethal_to_man	4	1	0	3	2	0	0	1	1	0	0	2	3	0	0	1	0	0	4	0	3	2	3	2	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	2	4	3	4	2	0	1	0	4	0	1	4	0	1	3	0	1	2	2	1
can_be_taught_tricks	4	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	3	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
can_eat_people	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	0	0	0	0	3	0	0	3	0	0	2	0	0	2	0	0
can_live_for_a_long_time_without_food	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
can_open_its_tail	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
