,concept,embed_1,embed_2,embed_3,category
0,Alligator,0.0036500536,-0.022114942,-0.008194969,reptile
1,Blindworm,0.25426155,-0.11550466,-0.0031100803,reptile
2,Boa python,0.19640571,0.330745,0.5676704,reptile
3,Caiman,0.014719541,-0.044216648,0.01857286,reptile
4,Chameleon,0.0026872992,-0.020001192,0.023753243,reptile
5,Cobra,0.047809366,-0.06886426,0.08854302,reptile
6,Crocodile,-9.7577895e-06,-0.040628262,0.014533181,reptile
7,Dinosaur,0.01059375,0.12725903,0.17738354,reptile
8,Gecko,0.035537288,-0.04003442,-0.06287569,reptile
9,Lizard,-0.022789648,-0.010478646,-0.053863067,reptile
10,Salamander,-0.029324584,0.14402209,-0.2378804,reptile
11,Snake,-0.29895237,0.33190954,0.13449897,reptile
12,Toad,0.0022784073,-0.037668873,0.005596888,reptile
13,Tortoise,-0.2410697,0.0893733,-0.19793808,reptile
14,Turtle,-0.480411,0.35242245,-0.3563332,reptile
15,Anvil,0.01575224,-0.029301524,-0.022685016,tool
16,Axe,0.041434385,-0.02389777,-0.045998637,tool
17,Chisel,0.023638213,-0.024021983,-0.32417455,tool
18,Grinding disk,-0.027841642,-0.25278792,0.08026892,tool
19,Hammer,-0.16577624,-0.04963964,-0.0952897,tool
20,Knife,-0.043944377,-0.11599477,0.32297444,tool
21,Lawn Mower,0.006856298,0.060136534,0.18017526,tool
22,Nail,0.20610046,-0.21587771,-0.028907018,tool
23,Oil can,0.4283861,-0.5841526,0.5438257,tool
24,Paint brush,-0.19655247,-0.32278004,0.18469982,tool
25,Saw,0.24224186,0.1838064,0.098277934,tool
26,Screwdriver,-0.29005286,0.053519204,0.050231416,tool
27,Shovel,0.2389075,-0.27344003,-0.2741441,tool
28,Spanner,-0.14321664,0.26509565,-0.16827679,tool
29,Vacuum,0.3879711,0.41620988,-0.32482746,tool
